지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일사(MJ/m2)
108,서울,2022-01-03 15:00,2.2,,2.2,48,1.06
108,서울,2022-01-03 16:00,2.3,,2.4,49,.64
108,서울,2022-01-03 17:00,1.6,,3,56,.24
108,서울,2022-01-03 18:00,1.3,,1.9,58,.02
108,서울,2022-01-03 19:00,1.3,,2.6,65,
108,서울,2022-01-03 20:00,1.2,,1.8,68,
108,서울,2022-01-03 21:00,1.1,0,2.8,74,
108,서울,2022-01-03 22:00,.9,,1.5,75,
108,서울,2022-01-03 23:00,.6,,1.3,75,
108,서울,2022-01-04 00:00,.7,0,1.6,81,
108,서울,2022-01-04 01:00,.7,,1.3,81,
108,서울,2022-01-04 02:00,-.4,,2.4,77,
108,서울,2022-01-04 03:00,-1.6,0,2,78,
108,서울,2022-01-04 04:00,-2.2,,2.5,76,
108,서울,2022-01-04 05:00,-2.9,,3.3,74,
108,서울,2022-01-04 06:00,-3.6,,2.6,73,
108,서울,2022-01-04 07:00,-4,,2.5,76,
108,서울,2022-01-04 08:00,-4.6,,1.9,75,0
108,서울,2022-01-04 09:00,-4.3,,3.8,73,.28
108,서울,2022-01-04 10:00,-3.5,,2.8,66,.88
108,서울,2022-01-04 11:00,-1.9,,3.2,55,1.45
108,서울,2022-01-04 12:00,-.6,,2.5,45,1.81
108,서울,2022-01-04 13:00,-.5,,2.9,43,1.94
108,서울,2022-01-04 14:00,0,,3.6,37,1.87
108,서울,2022-01-04 15:00,.9,,3.5,32,1.56
108,서울,2022-01-04 16:00,.7,,3,29,1.02
108,서울,2022-01-04 17:00,-.4,,2.8,29,.45
108,서울,2022-01-04 18:00,-1.7,,2.2,31,.04
108,서울,2022-01-04 19:00,-2.6,,.7,35,
108,서울,2022-01-04 20:00,-2.5,,2.5,34,
108,서울,2022-01-04 21:00,-3.5,,.8,37,
108,서울,2022-01-04 22:00,-4.4,,1,41,
108,서울,2022-01-04 23:00,-5.1,,1.5,42,
108,서울,2022-01-05 00:00,-5.6,,1.3,45,
108,서울,2022-01-05 01:00,-6,,1.3,48,
108,서울,2022-01-05 02:00,-6.6,,2.2,49,
108,서울,2022-01-05 03:00,-7,,1,52,
108,서울,2022-01-05 04:00,-7.2,,1.9,52,
108,서울,2022-01-05 05:00,-7.3,,1.8,54,
108,서울,2022-01-05 06:00,-7.6,,2.4,55,
108,서울,2022-01-05 07:00,-7.7,,2.3,57,
108,서울,2022-01-05 08:00,-7.5,,2.6,58,0
108,서울,2022-01-05 09:00,-6.4,,.9,56,.29
108,서울,2022-01-05 10:00,-4.4,,1.3,50,.52
108,서울,2022-01-05 11:00,-2.4,,1.5,46,.9
108,서울,2022-01-05 12:00,-.6,,2.3,41,1.03
108,서울,2022-01-05 13:00,.5,,2,37,1.03
108,서울,2022-01-05 14:00,1.3,,2.3,35,.98
108,서울,2022-01-05 15:00,1.7,,1.5,36,.76
108,서울,2022-01-05 16:00,1.8,,1.3,36,.43
108,서울,2022-01-05 17:00,1.4,,1.2,38,.16
108,서울,2022-01-05 18:00,.7,,2,42,.02
108,서울,2022-01-05 19:00,.1,,1.3,42,
108,서울,2022-01-05 20:00,-.6,,1.6,44,
108,서울,2022-01-05 21:00,-1,,2,46,
108,서울,2022-01-05 22:00,-1.3,,2.2,46,
108,서울,2022-01-05 23:00,-1.9,,1.2,48,
108,서울,2022-01-06 00:00,-2.5,,1.7,53,
108,서울,2022-01-06 01:00,-3.1,,1.5,53,
108,서울,2022-01-06 02:00,-3.7,,.9,55,
108,서울,2022-01-06 03:00,-4.5,,1.6,59,
108,서울,2022-01-06 04:00,-4.8,,2.1,62,
108,서울,2022-01-06 05:00,-4.6,,2.8,62,
108,서울,2022-01-06 06:00,-5.4,,2.2,60,
108,서울,2022-01-06 07:00,-5.5,,1.5,60,
108,서울,2022-01-06 08:00,-5.9,,2.5,62,0
108,서울,2022-01-06 09:00,-5.1,,2.3,62,.29
108,서울,2022-01-06 10:00,-3,,2,53,.87
108,서울,2022-01-06 11:00,-1.1,,2.7,41,1.42
108,서울,2022-01-06 12:00,.3,,3.4,35,1.82
108,서울,2022-01-06 13:00,1.7,,4.2,33,1.95
108,서울,2022-01-06 14:00,2.8,,4.2,31,1.87
108,서울,2022-01-06 15:00,2.8,,2.6,31,1.52
108,서울,2022-01-06 16:00,3.1,,1.6,31,.98
108,서울,2022-01-06 17:00,2,,2.2,33,.46
108,서울,2022-01-06 18:00,.7,,2.2,35,.04
108,서울,2022-01-06 19:00,0,,3.2,37,
108,서울,2022-01-06 20:00,-1.2,,1.8,41,
108,서울,2022-01-06 21:00,-1.9,,1.8,43,
108,서울,2022-01-06 22:00,-2.7,,1.7,47,
108,서울,2022-01-06 23:00,-3.4,,1.6,50,
108,서울,2022-01-07 00:00,-4.2,,1.3,52,
108,서울,2022-01-07 01:00,-4.5,,.9,54,
108,서울,2022-01-07 02:00,-4.8,,1.1,57,
108,서울,2022-01-07 03:00,-5,,1.2,56,
108,서울,2022-01-07 04:00,-5.3,,.6,58,
108,서울,2022-01-07 05:00,-5.4,,1.4,57,
108,서울,2022-01-07 06:00,-5.7,,1.6,59,
108,서울,2022-01-07 07:00,-5.8,,1.3,62,
108,서울,2022-01-07 08:00,-5.8,,1.3,64,0
108,서울,2022-01-07 09:00,-5.3,,1.5,63,.28
108,서울,2022-01-07 10:00,-3,,1.1,59,.83
108,서울,2022-01-07 11:00,.3,,.8,48,1.36
108,서울,2022-01-07 12:00,1.9,,2.4,37,1.72
108,서울,2022-01-07 13:00,2.5,,1.7,32,1.92
108,서울,2022-01-07 14:00,3.7,,2.4,24,1.88
108,서울,2022-01-07 15:00,4.2,,2.1,24,1.56
108,서울,2022-01-07 16:00,4.4,,2.4,21,1.08
108,서울,2022-01-07 17:00,2.8,,2.3,25,.45
108,서울,2022-01-07 18:00,1.4,,2.1,33,.04
108,서울,2022-01-07 19:00,.3,,1.8,41,
108,서울,2022-01-07 20:00,-.5,,1.8,46,
108,서울,2022-01-07 21:00,-1.3,,2.1,50,
108,서울,2022-01-07 22:00,-1.9,,1.8,53,
108,서울,2022-01-07 23:00,-2.2,,1,55,
108,서울,2022-01-08 00:00,-2.8,,.7,55,
108,서울,2022-01-08 01:00,-3.1,,.8,54,
108,서울,2022-01-08 02:00,-3.3,,.1,53,
108,서울,2022-01-08 03:00,-3.6,,.1,54,
108,서울,2022-01-08 04:00,-3.9,,1.9,55,
108,서울,2022-01-08 05:00,-4.3,,1.9,56,
108,서울,2022-01-08 06:00,-4.7,,2.4,59,
108,서울,2022-01-08 07:00,-4.9,,2,60,
108,서울,2022-01-08 08:00,-4.9,,2.3,61,0
108,서울,2022-01-08 09:00,-4,,2.2,60,.25
108,서울,2022-01-08 10:00,-2.4,,2.1,58,.39
108,서울,2022-01-08 11:00,-.8,,2.3,53,.51
108,서울,2022-01-08 12:00,.6,,1.2,50,.8
108,서울,2022-01-08 13:00,2.3,,1.1,52,.68
108,서울,2022-01-08 14:00,3.1,,.6,53,.54
108,서울,2022-01-08 15:00,3.2,0,1.8,65,.21
108,서울,2022-01-08 16:00,3.5,,2.6,72,.12
108,서울,2022-01-08 17:00,3.7,,2.8,71,.17
108,서울,2022-01-08 18:00,3.6,,2.3,72,.01
108,서울,2022-01-08 19:00,3.6,,2.3,74,
108,서울,2022-01-08 20:00,3.3,,1.5,76,
108,서울,2022-01-08 21:00,3.4,,1.3,77,
108,서울,2022-01-08 22:00,3.4,,1,78,
108,서울,2022-01-08 23:00,3.5,,1.9,78,
108,서울,2022-01-09 00:00,3.7,,1.5,77,
108,서울,2022-01-09 01:00,3.7,,2.1,80,
108,서울,2022-01-09 02:00,3.3,,2.2,82,
108,서울,2022-01-09 03:00,2.5,,1.3,83,
108,서울,2022-01-09 04:00,1.4,,2,85,
108,서울,2022-01-09 05:00,.5,,2.6,86,
108,서울,2022-01-09 06:00,-.1,,2.7,88,
108,서울,2022-01-09 07:00,-.9,,1.5,88,
108,서울,2022-01-09 08:00,-.6,,2,90,0
108,서울,2022-01-09 09:00,-.6,,1,88,.06
108,서울,2022-01-09 10:00,-.3,,1.4,89,.23
108,서울,2022-01-09 11:00,1,,1.2,85,.66
108,서울,2022-01-09 12:00,2.2,,2,75,.9
108,서울,2022-01-09 13:00,3.3,,1,66,1.29
108,서울,2022-01-09 14:00,4.9,,1.8,58,1.56
108,서울,2022-01-09 15:00,5.4,,1.7,52,1.31
108,서울,2022-01-09 16:00,5.3,,1.6,47,.77
108,서울,2022-01-09 17:00,3.8,,2.1,50,.34
108,서울,2022-01-09 18:00,2.2,,1.1,53,.04
108,서울,2022-01-09 19:00,1.4,,1.3,57,
108,서울,2022-01-09 20:00,.8,,1.6,61,
108,서울,2022-01-09 21:00,.1,,1.4,62,
108,서울,2022-01-09 22:00,-.3,,1.1,66,
108,서울,2022-01-09 23:00,-.8,,.9,68,
108,서울,2022-01-10 00:00,-1.2,,1.5,71,
108,서울,2022-01-10 01:00,-1.6,,1,73,
108,서울,2022-01-10 02:00,-1.8,,1.5,75,
108,서울,2022-01-10 03:00,-1.9,,1.1,76,
108,서울,2022-01-10 04:00,-2.1,,.8,77,
108,서울,2022-01-10 05:00,-2.7,,2.3,80,
108,서울,2022-01-10 06:00,-3.1,,2.3,81,
108,서울,2022-01-10 07:00,-3.3,,2.3,82,
108,서울,2022-01-10 08:00,-3.3,,2,84,0
108,서울,2022-01-10 09:00,-3,,1.6,83,.19
108,서울,2022-01-10 10:00,-1,,1.7,78,.68
108,서울,2022-01-10 11:00,1.5,,1.9,69,1.18
108,서울,2022-01-10 12:00,3.7,,1.1,60,1.52
108,서울,2022-01-10 13:00,4.2,,2.4,53,1.31
108,서울,2022-01-10 14:00,4.4,,2.1,44,1.03
108,서울,2022-01-10 15:00,4,,2.8,40,.78
108,서울,2022-01-10 16:00,3.5,,2.1,46,.41
108,서울,2022-01-10 17:00,3,,2.5,53,.13
108,서울,2022-01-10 18:00,2.4,,2.1,56,.02
108,서울,2022-01-10 19:00,2,,2.3,55,
108,서울,2022-01-10 20:00,1.8,,2.4,52,
108,서울,2022-01-10 21:00,1.4,0,1.9,58,
108,서울,2022-01-10 22:00,1,,2.2,66,
108,서울,2022-01-10 23:00,.3,,1.9,82,
108,서울,2022-01-11 00:00,.3,.9,2.8,92,
108,서울,2022-01-11 01:00,-1.2,,4.6,83,
108,서울,2022-01-11 02:00,-2.7,,4.4,72,
108,서울,2022-01-11 03:00,-4.3,.2,4.5,71,
108,서울,2022-01-11 04:00,-5.9,,5.6,66,
108,서울,2022-01-11 05:00,-7.1,,4.6,67,
108,서울,2022-01-11 06:00,-7.9,,4.7,66,
108,서울,2022-01-11 07:00,-8.7,,3.7,62,
108,서울,2022-01-11 08:00,-9.3,,3.9,62,0
108,서울,2022-01-11 09:00,-9.3,,3.2,61,.31
108,서울,2022-01-11 10:00,-8.5,,3.4,54,.87
108,서울,2022-01-11 11:00,-7.6,,4.2,50,1.49
108,서울,2022-01-11 12:00,-7,,5.7,48,1.88
108,서울,2022-01-11 13:00,-5.9,,4.7,47,2.04
108,서울,2022-01-11 14:00,-5.4,,4.4,44,1.96
108,서울,2022-01-11 15:00,-4.9,,4.1,40,1.66
108,서울,2022-01-11 16:00,-4.8,,3.7,39,1.13
108,서울,2022-01-11 17:00,-5.5,,2.9,42,.51
108,서울,2022-01-11 18:00,-6.7,,3.7,47,.06
108,서울,2022-01-11 19:00,-7.5,,3.1,49,
108,서울,2022-01-11 20:00,-8.3,,3.1,52,
108,서울,2022-01-11 21:00,-9,,2.9,54,
108,서울,2022-01-11 22:00,-9.6,,2.7,56,
108,서울,2022-01-11 23:00,-10,,3,56,
108,서울,2022-01-12 00:00,-10.2,,2.6,57,
108,서울,2022-01-12 01:00,-10.7,,1.5,57,
108,서울,2022-01-12 02:00,-11,,.6,61,
108,서울,2022-01-12 03:00,-11.3,,1.1,63,
108,서울,2022-01-12 04:00,-11.3,,1.7,63,
108,서울,2022-01-12 05:00,-11.1,,2.3,59,
108,서울,2022-01-12 06:00,-11,,2.7,58,
108,서울,2022-01-12 07:00,-11.2,,1.5,59,
108,서울,2022-01-12 08:00,-11.2,,1.8,59,0
108,서울,2022-01-12 09:00,-10.2,,3.1,54,.33
108,서울,2022-01-12 10:00,-8.8,,3.1,48,.92
108,서울,2022-01-12 11:00,-7.3,,2.5,46,1.49
108,서울,2022-01-12 12:00,-6.6,,2.9,42,1.89
108,서울,2022-01-12 13:00,-5.5,,3,42,2.04
108,서울,2022-01-12 14:00,-3.9,,3.6,36,1.97
108,서울,2022-01-12 15:00,-4.1,,3,35,1.6
108,서울,2022-01-12 16:00,-4,,3.5,35,1.15
108,서울,2022-01-12 17:00,-4.6,,2,39,.49
108,서울,2022-01-12 18:00,-5.1,,3.1,41,.05
108,서울,2022-01-12 19:00,-5.5,,2.9,47,
108,서울,2022-01-12 20:00,-5.8,,3.2,44,
108,서울,2022-01-12 21:00,-5.9,,2.7,43,
108,서울,2022-01-12 22:00,-6.1,,2.6,44,
108,서울,2022-01-12 23:00,-6.5,,2.2,46,
108,서울,2022-01-13 00:00,-7.1,,2.1,46,
108,서울,2022-01-13 01:00,-7.2,,.8,46,
108,서울,2022-01-13 02:00,-7.3,,.7,46,
108,서울,2022-01-13 03:00,-7,,1.6,44,
108,서울,2022-01-13 04:00,-7.2,,1.3,44,
108,서울,2022-01-13 05:00,-7.4,,1.3,48,
108,서울,2022-01-13 06:00,-7.2,,1.1,52,
108,서울,2022-01-13 07:00,-6.9,,2.4,53,
108,서울,2022-01-13 08:00,-7.2,,4.2,52,0
108,서울,2022-01-13 09:00,-6.9,,3.6,49,.31
108,서울,2022-01-13 10:00,-5.8,,4.4,47,.85
108,서울,2022-01-13 11:00,-5,,5.6,45,1.48
108,서울,2022-01-13 12:00,-4.4,,5.2,40,1.83
108,서울,2022-01-13 13:00,-4.1,,4.9,35,2.03
108,서울,2022-01-13 14:00,-3.8,,4.4,34,1.96
108,서울,2022-01-13 15:00,-3.3,,4.3,33,1.68
108,서울,2022-01-13 16:00,-3.8,,4.2,35,1.15
108,서울,2022-01-13 17:00,-4.9,,5.5,40,.54
108,서울,2022-01-13 18:00,-6.1,,4.5,45,.07
108,서울,2022-01-13 19:00,-6.8,,4.6,47,
108,서울,2022-01-13 20:00,-7.4,,3.3,49,
108,서울,2022-01-13 21:00,-7.7,,2.7,50,
108,서울,2022-01-13 22:00,-8.1,,1.7,50,
108,서울,2022-01-13 23:00,-8.5,,1.8,51,
108,서울,2022-01-14 00:00,-8.9,,1.1,53,
108,서울,2022-01-14 01:00,-9.5,,1,53,
108,서울,2022-01-14 02:00,-9.5,,.4,53,
108,서울,2022-01-14 03:00,-9.7,,.7,53,
108,서울,2022-01-14 04:00,-9.7,,1.3,53,
108,서울,2022-01-14 05:00,-9.4,,2.1,52,
108,서울,2022-01-14 06:00,-9.5,,2.8,53,
108,서울,2022-01-14 07:00,-9.7,,2.1,53,
108,서울,2022-01-14 08:00,-10,,1.5,56,0
108,서울,2022-01-14 09:00,-9.1,,2.2,53,.33
108,서울,2022-01-14 10:00,-7.2,,1.4,45,.94
108,서울,2022-01-14 11:00,-4.1,,1.3,39,1.51
108,서울,2022-01-14 12:00,-2.3,,1.5,33,1.91
108,서울,2022-01-14 13:00,-.1,,2.1,31,2.04
108,서울,2022-01-14 14:00,.3,,2.9,29,1.98
108,서울,2022-01-14 15:00,.5,,2.7,26,1.67
108,서울,2022-01-14 16:00,1.2,,1.8,26,1.14
108,서울,2022-01-14 17:00,.1,,2.2,28,.51
108,서울,2022-01-14 18:00,-1.5,,1.8,31,.07
108,서울,2022-01-14 19:00,-2.7,,1.7,33,
108,서울,2022-01-14 20:00,-3.1,,2,38,
108,서울,2022-01-14 21:00,-3.1,,2.4,42,
108,서울,2022-01-14 22:00,-3.5,,2,41,
108,서울,2022-01-14 23:00,-3.9,,1.4,42,
108,서울,2022-01-15 00:00,-3.9,,.5,43,
108,서울,2022-01-15 01:00,-4.2,,1.8,46,
108,서울,2022-01-15 02:00,-4.5,,2.2,47,
108,서울,2022-01-15 03:00,-4.8,,2,47,
108,서울,2022-01-15 04:00,-5.2,,2.2,49,
108,서울,2022-01-15 05:00,-5.2,,2.4,52,
108,서울,2022-01-15 06:00,-5,,2.2,54,
108,서울,2022-01-15 07:00,-4.6,,2.8,53,
108,서울,2022-01-15 08:00,-4.4,,2.5,48,0
108,서울,2022-01-15 09:00,-3.8,,2.3,46,.12
108,서울,2022-01-15 10:00,-2.3,,1.9,44,.49
108,서울,2022-01-15 11:00,-.7,,3.1,43,.8
108,서울,2022-01-15 12:00,.4,,2.3,41,.92
108,서울,2022-01-15 13:00,.7,,1.7,43,.5
108,서울,2022-01-15 14:00,.9,,1.9,43,.33
108,서울,2022-01-15 15:00,1.3,,2.2,43,.24
108,서울,2022-01-15 16:00,1.8,,2.2,43,.27
108,서울,2022-01-15 17:00,1.6,,1.6,44,.08
108,서울,2022-01-15 18:00,1.4,,1.7,48,.01
108,서울,2022-01-15 19:00,1.3,,2.5,49,
108,서울,2022-01-15 20:00,1.3,,1.6,51,
108,서울,2022-01-15 21:00,1.3,0,1.1,51,
108,서울,2022-01-15 22:00,1.4,,.8,53,
108,서울,2022-01-15 23:00,1.3,,.3,53,
108,서울,2022-01-16 00:00,1.3,0,1.3,56,
108,서울,2022-01-16 01:00,1.5,,1.7,68,
108,서울,2022-01-16 02:00,2.3,,2.1,73,
108,서울,2022-01-16 03:00,2.4,0,1.9,74,
108,서울,2022-01-16 04:00,2.4,,2.8,78,
108,서울,2022-01-16 05:00,1.5,,3.4,79,
108,서울,2022-01-16 06:00,.1,,4,76,
108,서울,2022-01-16 07:00,-1,,3.1,78,
108,서울,2022-01-16 08:00,-2.5,,3.5,75,0
108,서울,2022-01-16 09:00,-3.4,,4.6,70,.28
108,서울,2022-01-16 10:00,-3.1,,4.2,61,.81
108,서울,2022-01-16 11:00,-3.1,,4.5,53,1.47
108,서울,2022-01-16 12:00,-1.5,,3.9,46,1.86
108,서울,2022-01-16 13:00,-.4,,3.4,35,2.07
108,서울,2022-01-16 14:00,.1,,4,31,2.02
108,서울,2022-01-16 15:00,.5,,4.3,36,1.67
108,서울,2022-01-16 16:00,-.1,,4,38,1.17
108,서울,2022-01-16 17:00,-1.1,,3.5,39,.55
108,서울,2022-01-16 18:00,-2.4,,2.8,43,.08
108,서울,2022-01-16 19:00,-3.1,,3,41,
108,서울,2022-01-16 20:00,-3.9,,3.2,33,
108,서울,2022-01-16 21:00,-4.4,,2.9,36,
108,서울,2022-01-16 22:00,-5.3,,4.3,42,
108,서울,2022-01-16 23:00,-6.4,,3.5,50,
108,서울,2022-01-17 00:00,-7.2,,2.6,55,
108,서울,2022-01-17 01:00,-7.9,,2.3,58,
108,서울,2022-01-17 02:00,-8.6,,1.1,59,
108,서울,2022-01-17 03:00,-8.5,,1.7,59,
108,서울,2022-01-17 04:00,-8.9,,1.3,60,
108,서울,2022-01-17 05:00,-9.1,,1.2,60,
108,서울,2022-01-17 06:00,-9.1,,.9,60,
108,서울,2022-01-17 07:00,-9.2,,1.6,59,
108,서울,2022-01-17 08:00,-8.6,,.5,60,0
108,서울,2022-01-17 09:00,-7.9,,1.5,57,.32
108,서울,2022-01-17 10:00,-5.4,,2.2,51,.92
108,서울,2022-01-17 11:00,-3.3,,2.6,43,1.49
108,서울,2022-01-17 12:00,-1.7,,2.6,38,1.83
108,서울,2022-01-17 13:00,-.2,,2,42,1.41
108,서울,2022-01-17 14:00,-1,,3.4,54,.8
108,서울,2022-01-17 15:00,-2.2,0,4,75,.57
108,서울,2022-01-17 16:00,-2.2,,3.2,76,.47
108,서울,2022-01-17 17:00,-2.5,,3.8,78,.22
108,서울,2022-01-17 18:00,-3.3,.5,3.4,83,.04
108,서울,2022-01-17 19:00,-4.1,,3.8,67,
108,서울,2022-01-17 20:00,-5.2,,3.8,53,
108,서울,2022-01-17 21:00,-5.8,0,3.1,51,
108,서울,2022-01-17 22:00,-6.5,,2.8,52,
108,서울,2022-01-17 23:00,-7.2,,1.3,53,
108,서울,2022-01-18 00:00,-7.7,,2.2,56,
108,서울,2022-01-18 01:00,-7.6,,2.3,56,
108,서울,2022-01-18 02:00,-7.9,,2,56,
108,서울,2022-01-18 03:00,-8.4,,1.7,58,
108,서울,2022-01-18 04:00,-8.9,,1.3,58,
108,서울,2022-01-18 05:00,-9.1,,1.5,60,
108,서울,2022-01-18 06:00,-9.6,,1.9,62,
108,서울,2022-01-18 07:00,-9.4,,2.1,59,
108,서울,2022-01-18 08:00,-9.6,,2.4,61,0
108,서울,2022-01-18 09:00,-8.8,,3.2,56,.34
108,서울,2022-01-18 10:00,-7.5,,3,51,.95
108,서울,2022-01-18 11:00,-5.6,,2.9,44,1.56
108,서울,2022-01-18 12:00,-3.7,,2.4,37,1.93
108,서울,2022-01-18 13:00,-3,,2.8,32,2.1
108,서울,2022-01-18 14:00,-1.8,,3.2,29,2.04
108,서울,2022-01-18 15:00,-1,,3.1,29,1.7
108,서울,2022-01-18 16:00,-.9,,2.7,28,1.18
108,서울,2022-01-18 17:00,-1.9,,2.8,32,.52
108,서울,2022-01-18 18:00,-3,,1.6,33,.08
108,서울,2022-01-18 19:00,-3.6,,2.8,38,
108,서울,2022-01-18 20:00,-4,,3,49,
108,서울,2022-01-18 21:00,-4.7,,2.3,52,
108,서울,2022-01-18 22:00,-5.2,,1.4,55,
108,서울,2022-01-18 23:00,-5.5,,1.6,57,
108,서울,2022-01-19 00:00,-5.6,,1.5,56,
108,서울,2022-01-19 01:00,-6,,1.3,55,
108,서울,2022-01-19 02:00,-6.2,,.2,52,
108,서울,2022-01-19 03:00,-6.4,,.9,55,
108,서울,2022-01-19 04:00,-6.5,,2.3,57,
108,서울,2022-01-19 05:00,-6.7,,2.2,59,
108,서울,2022-01-19 06:00,-6.6,,1.8,62,
108,서울,2022-01-19 07:00,-6.7,,2.3,62,
108,서울,2022-01-19 08:00,-5.9,,2.6,61,0
108,서울,2022-01-19 09:00,-4.8,0,2,59,.1
108,서울,2022-01-19 10:00,-4.3,,1.8,78,.21
108,서울,2022-01-19 11:00,-4.2,,2.5,87,.26
108,서울,2022-01-19 12:00,-3.4,1.1,1.9,87,.43
108,서울,2022-01-19 13:00,-3.4,,1.7,83,.27
108,서울,2022-01-19 14:00,-3.1,,.4,84,.28
108,서울,2022-01-19 15:00,-3.2,.6,.8,88,.18
108,서울,2022-01-19 16:00,-2.7,,1.8,83,.24
108,서울,2022-01-19 17:00,-3.1,,3.1,82,.13
108,서울,2022-01-19 18:00,-3.5,0,3.4,77,.03
108,서울,2022-01-19 19:00,-4.9,,3.2,70,
108,서울,2022-01-19 20:00,-5.7,,3.4,69,
108,서울,2022-01-19 21:00,-6.5,,2.9,73,
108,서울,2022-01-19 22:00,-7,,2.2,75,
108,서울,2022-01-19 23:00,-7.3,,2.6,77,
108,서울,2022-01-20 00:00,-7.7,,2.5,77,
108,서울,2022-01-20 01:00,-8.3,,.8,77,
108,서울,2022-01-20 02:00,-8.8,,2.1,80,
108,서울,2022-01-20 03:00,-9.2,,.8,79,
108,서울,2022-01-20 04:00,-9.5,,.6,82,
108,서울,2022-01-20 05:00,-9.4,,1.1,80,
108,서울,2022-01-20 06:00,-9.7,,1,83,
108,서울,2022-01-20 07:00,-9.8,,1.9,83,
108,서울,2022-01-20 08:00,-9.3,,2.4,81,0
108,서울,2022-01-20 09:00,-8.5,,1.8,81,.36
108,서울,2022-01-20 10:00,-6,,1.1,73,.97
108,서울,2022-01-20 11:00,-3.3,,2.3,61,1.51
108,서울,2022-01-20 12:00,-1.6,,2.2,53,1.89
108,서울,2022-01-20 13:00,.1,,1.1,47,2.05
108,서울,2022-01-20 14:00,-.3,,2.7,53,1.97
108,서울,2022-01-20 15:00,0,,2.8,48,1.67
108,서울,2022-01-20 16:00,.8,,2.5,46,1.2
108,서울,2022-01-20 17:00,-.2,,2.1,44,.56
